budget,runtime,popularity,vote_average,release_month,revenue
1746964.0,147.0,11.635837,7.7,5,2181987.0
16000000.0,96.0,8.34322,7.3,7,92823546.0
50000000.0,114.0,17.126768,6.2,5,159773545.0
10000000.0,97.0,13.390802,7.2,8,31973249.0
2500000.0,119.0,11.591462,7.3,3,11403529.0
40000000.0,128.0,16.777675,7.1,11,215862692.0
6000000.0,99.0,12.721362,6.2,10,25792310.0
35000000.0,128.0,10.302735,7.0,11,182300000.0
1800000.0,98.0,9.277692,7.0,11,33800000.0
1800000.0,91.0,13.694713,7.2,11,25504513.0
2800000.0,111.0,16.641277,7.2,6,60922980.0
46000000.0,111.0,8.808497000000003,7.0,11,150000000.0
1000000.0,135.0,9.475693,7.4,8,24444121.0
60000000.0,89.0,7.898202,5.5,11,129832389.0
40000000.0,124.0,4.182641,5.4,12,48093211.0
3000000.0,102.0,10.879283,7.4,5,2503829.0
35000000.0,132.0,8.277764999999999,6.2,12,139000000.0
27000000.0,113.0,5.90057,6.7,12,96900000.0
30000000.0,107.0,12.308007,5.6,6,70200000.0
12000000.0,113.0,7.160236,7.3,6,96800000.0
18000000.0,105.0,6.197298,6.4,5,87000000.0
24000000.0,119.0,12.596956,6.9,11,133000000.0
13000000.0,107.0,9.905174,6.6,8,44726644.0
6000000.0,110.0,7.854899,7.2,7,181813770.0
13200000.0,115.0,14.202364,4.9,6,15171476.0
12000000.0,94.0,5.8457120000000025,5.6,10,46044400.0
35000000.0,103.0,9.918269,6.1,10,156563139.0
20000000.0,116.0,11.21306,5.9,6,187884007.0
20500000.0,99.0,16.603041,4.2,3,87987055.0
70000000.0,106.0,15.63424,6.1,12,101371017.0
3000000.0,104.0,2.225234,6.8,12,153155.0
6000000.0,94.0,14.011415,7.2,3,29180280.0
23000000.0,98.0,5.3079839999999985,6.6,12,12803305.0
14000000.0,111.0,13.326443,7.0,12,173046663.0
40000000.0,112.0,15.228794,7.1,9,75505856.0
55000000.0,134.0,6.709803,5.9,12,141047179.0
55000000.0,100.0,5.304043,5.2,1,11466088.0
55000000.0,117.0,10.519481,5.3,1,31987563.0
